word;english;spanish;portuguese;french;chinese;pinyin;cantonese;jyutping;hindi;arabic;russian;bengali;japanese
accident;accident;accidente;acidente;accident;意外;yìwài;意外;jîngoi;दुर्घटना;حادثة;авария;দুর্ঘটনা;事故
actor;actor;actor;ator;acteur;演员;yǎnyuán;演员;jínjyùn;अभिनेता;الممثل;актер;অভিনেতা;俳優
adult;adult;adulto;adulto;adulte;成人;chéngrén;成人;sìngjàn;वयस्क;بالغ;для взрослых;প্রাপ্তবয়স্ক;大人
afternoon;afternoon;tarde;tarde;après-midi;下午;xiàwǔ;下午;haang;दोपहर;بعد الظهر;после полудня;বিকেল;午後
air;air;aire;ar;air;空气;kōngqì;空气;hūnghêi;वायु;هواء;воздуха;বায়ু;空気
airport;airport;aeropuerto;aeroporto;aéroport;飞机场;fēijīchǎng;飞机场;fēigēicòeng;हवाई अड्डा;مطار;аэропорт;বিমানবন্দর;空港
alive;alive;vivo;vivo;vivant;活;huó;活;wut;जिंदा;على قيد الحياة;живой;জীবিত;生きています
alone;alone;solo;sozinho;seul;单独;dāndú;单独;dāanduk;अकेला;وحده;один;একা;一人で
angle;angle;ángulo;ângulo;angle;角度;jiǎodù;角度;gôkdou;कोण;زاوية;угол;কোণ;角度
animal;animal;animal;animal;animal;动物;dòngwù;动物;dungmat;जानवर;حيوان;животное;পশু;動物
answer;answer;contestar;responder;répondre;回答;huídá;回答;wùidâap;उत्तर;يسأل;отвечать;উত্তর;回答
ant;ant;hormiga;formiga;fourmi;蚂蚁;mǎyǐ;蚂蚁;mǎangǎi;चींटी;نملة;муравей;পিপীলিকা;蟻
apartment;apartment;apartamento;apartamento;appartement;公寓;gōngyù;公寓;gūngjyu;फ्लैट;شقة;квартира;কামরা;アパート
apple;apple;manzana;maçã;pomme;苹果;píngguǒ;苹果;pìnggwó;सेब;تفاح;яблоко;আপেল;林檎
April;April;abril;abril;avril;四月;sìyuè;四月;sêijyut;अप्रैल;أبريل;апреля;এপ্রিল;四月
arch;arch;arco;arco;arche;NA;na;NA;NA;NA;قَوْس;NA;NA;NA
arm;arm;brazo;braço;bras;手臂;shǒubì;手臂;sáubêi;हाथ;ذراع;рука;হাত;腕
army;army;ejército;exército;armée;军队;jūnduì;军队;gwāndéoi;सेना;جيش;армия;সেনা;軍
art;art;arte;arte;art;艺术;yìshù;艺术;ngaiseot;कला;فن;изобразительное искусство;শিল্প;アート
artist;artist;artista;artista;artiste;艺术家;yìshùjiā;艺术家;ngaiseotgāa;कलाकार;فنان;художник;শিল্পী;アーティスト
ask;ask;preguntar;perguntar;demander;问;wèn;问;man;पूछना;يسأل;спросить;জিজ্ঞাসা করা;聞く、質問する
attack;attack;ataque;ataque;attaque;攻击;gōngjī;攻击;gūnggīk;हमला;هجوم;атака;আক্রমণ;攻撃
August;August;agosto;agosto;août;八月;bāyuè;八月;bâatjyut;अगस्त;أغسطس;август;অগাস্ট;八月
author;author;autor;autor;auteur;作者;zuòzhě;作者;zôkzé;लेखक;مؤلف;автор;লেখক;著者
baby;baby;bebé;bebê;bébé;婴儿;yīngér;婴儿;jīngjì;शिशु;طفل;детка;বাচ্চা;赤ちゃん
back (body);back;espalda;costas;dos;背部;bèibù;背部;bûibou;वापस;ظهر;назад;পেছনে;バック
back (direction);back;atrás;atrás;arrière;在后面;zài hòumiàn;在后面;zoi haumin;पीछे;وراء;позади;পিছনে;後ろに
bad;bad;malo;mau;mal;坏;huài;坏;waai;खराब;سيء;плохо;খারাপ;悪い
bag;bag;bolso;bolsa;sac;包;bāo;包;bāau;बैग;كيس;мешок;থলে;バッグ
ball;ball;pelota;bola;balle;球;qiú;球;kàu;गेंद;كرة;мяч;বল;玉
banana;banana;plátano;banana;banane;香蕉;xiāngjiāo;香蕉;hōengzīu;केला;موز;банан;কলা;バナナ
band;band;banda;banda;bande;乐队;yuèduì;乐队;ngokdéoi;बैंड;فرقة موسيقية;группа;দল;バンド
bank;bank;banco;banco;banque;银行;yínháng;银行;ngànhòng;बैंक;مصرف;банк;ব্যাংক;バンク
bar;bar;bar;bar;bar;酒吧;jiǔbā;酒吧;záubāa;बार;حانة;паб;মদের দোকান;パブ
basket;basket;canasta;cesta;panier;篮子;lánzi;篮子;làamzí;टोकरी;سلة;корзина;ঝুড়ি;バスケット
bath;bath;bañera;banheira;baignoire;NA;na;NA;NA;NA;مغطس;ванна;NA;NA
