word;image;image_html;english;spanish;portuguese;french;french_audio;french_audio_html;chinese_simplified;chinese_pinyin;chinese_jyutping;hindi;arabic;russian;bengali;japanese
accident;vocab-accident.jpg;"<img src=""vocab-accident.jpg"">";accident;accidente;acidente;accident;vocab-french-accident.mp3;[sound:vocab-french-accident.mp3];意外;yìwài;jîngoi;दुर्घटना;حادثة;авария;দুর্ঘটনা;事故
actor;vocab-actor.jpg;"<img src=""vocab-actor.jpg"">";actor;actor;ator;acteur;vocab-french-acteur.mp3;[sound:vocab-french-acteur.mp3];演员;yǎnyuán;jínjyùn;अभिनेता;الممثل;актер;অভিনেতা;俳優
adult;vocab-adult.jpg;"<img src=""vocab-adult.jpg"">";adult;adulto;adulto;adulte;vocab-french-adulte.mp3;[sound:vocab-french-adulte.mp3];成人;chéngrén;sìngjàn;वयस्क;بالغ;для взрослых;প্রাপ্তবয়স্ক;大人
afternoon;vocab-afternoon.jpg;"<img src=""vocab-afternoon.jpg"">";afternoon;tarde;tarde;après-midi;vocab-french-après-midi.mp3;[sound:vocab-french-après-midi.mp3];下午;xiàwǔ;haang;दोपहर;بعد الظهر;после полудня;বিকেল;午後
air;vocab-air.jpg;"<img src=""vocab-air.jpg"">";air;aire;ar;air;vocab-french-air.mp3;[sound:vocab-french-air.mp3];空气;kōngqì;hūnghêi;वायु;هواء;воздуха;বায়ু;空気
airport;vocab-airport.jpg;"<img src=""vocab-airport.jpg"">";airport;aeropuerto;aeroporto;aéroport;vocab-french-aéroport.mp3;[sound:vocab-french-aéroport.mp3];飞机场;fēijīchǎng;fēigēicòeng;हवाई अड्डा;مطار;аэропорт;বিমানবন্দর;空港
alive;vocab-alive.jpg;"<img src=""vocab-alive.jpg"">";alive;vivo;vivo;vivant;vocab-french-vivant.mp3;[sound:vocab-french-vivant.mp3];活;huó;wut;जिंदा;على قيد الحياة;живой;জীবিত;生きています
alone;vocab-alone.jpg;"<img src=""vocab-alone.jpg"">";alone;solo;sozinho;seul;vocab-french-seul.mp3;[sound:vocab-french-seul.mp3];单独地;dāndú dì;dāanduk dei;अकेला;وحده;один;একা;一人で
animal;vocab-animal.jpg;"<img src=""vocab-animal.jpg"">";animal;animal;animal;animal;vocab-french-animal.mp3;[sound:vocab-french-animal.mp3];动物;dòngwù;dungmat;जानवर;حيوان;животное;পশু;動物
answer;vocab-answer.jpg;"<img src=""vocab-answer.jpg"">";answer;contestar;responda;répondre;vocab-french-répondre.mp3;[sound:vocab-french-répondre.mp3];回答;huídá;wùidâap;उत्तर;يسأل;отвечать;উত্তর;回答
apartment;vocab-apartment.jpg;"<img src=""vocab-apartment.jpg"">";apartment;apartamento;apartamento;appartement;vocab-french-appartement.mp3;[sound:vocab-french-appartement.mp3];公寓;gōngyù;gūngjyu;फ्लैट;شقة;квартира;কামরা;アパート
apple;vocab-apple.jpg;"<img src=""vocab-apple.jpg"">";apple;manzana;maçã;pomme;vocab-french-pomme.mp3;[sound:vocab-french-pomme.mp3];苹果;píngguǒ;pìnggwó;सेब;تفاحة، مدينة، قط;яблоко;আপেল;林檎
April;vocab-April.jpg;"<img src=""vocab-April.jpg"">";April;abril;abril;avril;vocab-french-avril.mp3;[sound:vocab-french-avril.mp3];四月;sìyuè;sêijyut;अप्रैल;أبريل;апреля;এপ্রিল;四月
arm;vocab-arm.jpg;"<img src=""vocab-arm.jpg"">";arm;brazo;braço;bras;vocab-french-bras.mp3;[sound:vocab-french-bras.mp3];手臂;shǒubì;sáubêi;हाथ;ذراع;рука;হাত;腕
army;vocab-army.jpg;"<img src=""vocab-army.jpg"">";army;ejército;exército;armée;vocab-french-armée.mp3;[sound:vocab-french-armée.mp3];军队;jūnduì;gwāndéoi;सेना;جيش;армия;সেনা;軍
art;vocab-art.jpg;"<img src=""vocab-art.jpg"">";art;arte;arte;art;vocab-french-art.mp3;[sound:vocab-french-art.mp3];艺术;yìshù;ngaiseot;कला;فن;изобразительное искусство;শিল্প;アート
artist;vocab-artist.jpg;"<img src=""vocab-artist.jpg"">";artist;artista;artista;artiste;vocab-french-artiste.mp3;[sound:vocab-french-artiste.mp3];艺术家;yìshùjiā;ngaiseotgāa;कलाकार;فنان;художник;শিল্পী;アーティスト
ask;vocab-ask.jpg;"<img src=""vocab-ask.jpg"">";ask;preguntar;perguntar;demander;vocab-french-demander.mp3;[sound:vocab-french-demander.mp3];问;wèn;man;पूछने के लिए;يسأل;спросить;জিজ্ঞাসা করা;聞く、質問する
attack;vocab-attack.jpg;"<img src=""vocab-attack.jpg"">";attack;ataque;ataque;attaque;vocab-french-attaque.mp3;[sound:vocab-french-attaque.mp3];攻击;gōngjī;gūnggīk;हमला;هجوم;атака;আক্রমণ;攻撃
August;vocab-August.jpg;"<img src=""vocab-August.jpg"">";August;agosto;agosto;août;vocab-french-août.mp3;[sound:vocab-french-août.mp3];八月;bāyuè;bâatjyut;अगस्त;أغسطس;август;অগাস্ট;八月
author;vocab-author.jpg;"<img src=""vocab-author.jpg"">";author;autor;autor;auteur;vocab-french-auteur.mp3;[sound:vocab-french-auteur.mp3];作者;zuòzhě;zôkzé;लेखक;مؤلف;автор;লেখক;著者
baby;vocab-baby.jpg;"<img src=""vocab-baby.jpg"">";baby;bebé;bebê;bébé;vocab-french-bébé.mp3;[sound:vocab-french-bébé.mp3];婴儿;yīngér;jīngjì;बेबी;طفل;детка;বাচ্চা;赤ちゃん
back (body);vocab-back (body).jpg;"<img src=""vocab-back (body).jpg"">";back;espalda;costas;dos;vocab-french-dos.mp3;[sound:vocab-french-dos.mp3];背部;bèibù;bûibou;वापस;الى الخلف;назад;পেছনে;バック
back (direction);vocab-back (direction).jpg;"<img src=""vocab-back (direction).jpg"">";back;atrás;atrás;arrière;vocab-french-arrière.mp3;[sound:vocab-french-arrière.mp3];在后面;zài hòumiàn;zoi haumin;पीछे - पीछे;وراء;позади;পিছনে;後ろに
bad;vocab-bad.jpg;"<img src=""vocab-bad.jpg"">";bad;malo;mau;mal;vocab-french-mal.mp3;[sound:vocab-french-mal.mp3];坏的;huài de;waai dīk;खराब;سيء;плохо;খারাপ;悪い
